MPN,Ref. Des.,Value,Manufacturer,Description,Package,QTY
RV16AF-41-15R1-A50K,"BASS, TREBLE",50kA,Alpha Taiwan,50K OHM LOGARITHMIC TAPER POTENTIOMETER PCB MOUNT ROUND,th-pot-rv16af-41,2
MCVVT025M101EA6L,"C1, C2",100u,Multicomp,CAPACITOR ALUM 100UF 25V ±20%,smd-capacitor-elec-6.3x7.7mm,2
MC0603B104K500CT,"C3, C4, C5, C6",100n,Multicomp,CAPACITOR MLCC 100NF X7R 0603 50V ±10%,smd-capacitor-0603,4
GCM31M5C1H473JA16L,C7,47n,Murata,CAPACITOR MLCC 47NF C0G/NP0 1206 50V ±5%,smd-capacitor-1206,1
EEEFC1V220P,C8,22u,Panasonic,CAPACITOR ALUM 22UF 35V LESR ±20%,smd-capacitor-elec-6.3x5.4mm,1
MC0603N220J500CT,"C9, C15",22p,Multicomp,CAPACITOR MLCC 22PF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,2
GRM1885C1H103JA01D,C10,10n,Murata,CAPACITOR MLCC 10NF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,1
GRM21BR72A474KA73L,C11,470n,Murata,CAPACITOR MLCC 470NF X7R 0603 100V ±10%,smd-capacitor-0805,1
GRM1885C1H272JA01D,C12,2.7n,Murata,CAPACITOR MLCC 2.7NF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,1
GRM2195C1H153JA01J,C13,15n,Murata,CAPACITOR MLCC 15NF C0G/NP0 1206 50V ±5%,smd-capacitor-0805,1
GRM3195C1H683JA05D,C14,68n,Murata,CAPACITOR MLCC 68NF C0G/NP0 1206 50V ±5%,smd-capacitor-1206,1
GRM31C5C1H104JA01L,C17,100n,Murata,CAPACITOR MLCC 100NF C0G/NP0 1206 50V ±5%,smd-capacitor-1206,1
EEEFC1V100R,C18,10u,Panasonic,CAPACITOR ALUM 10UF 35V LESR ±20%,smd-capacitor-elec-5x5.4mm,1
MTS-203R-A2,DEEP,DPDT,DAIER,ON-OFF-ON DPDT 3 POSITION 3A 250VAC MINI TOGGLE SWITCH,th-switch-mts-203,1
S2B-XH-A,"FSW, LED",S2B-XH-A,KNOCKOFF,HEADER XH MALE 1X2 PINS 2.5MM PITCH ANGLED,th-connector-s2b-xh-knockoff,2
TL072IDT,"IC1, IC2",TL072,Texas Instrument,OPAMP DUAL LOW NOISE JFET,smd-generic-soic-8,2
B10B-XH-A,J1,B10B-XH-A,JST,HEADER XH MALE 1X10 PINS 2.5MM PITCH STRAIGHT,th-connector-b10b-xh,1
RV16AF-41-15R1-A5K,MID,5kA,Alpha Taiwan,5K OHM LOGARITHMIC TAPER POTENTIOMETER PCB MOUNT ROUND,th-pot-rv16af-41,1
CRCW120647R0FKEA,"R1, R2",47R,Vishay,RESISTOR 47 OHM 1% 1/4W 1206,smd-resistor-1206,2
CRCW06032M20FKEA,R3,2.2M,Vishay,RESISTOR 2.2M OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW060310K0FKEA,"R4, R14, R16",10k,Vishay,RESISTOR 10K OHM 1% 1/10W 0603,smd-resistor-0603,3
CRCW06031M00FKEA,"R5, R17",1M,Vishay,RESISTOR 1M OHM 1% 1/10W 0603,smd-resistor-0603,2
CRCW06032K20FKEA,R6,2.2k,Vishay,RESISTOR 2.2K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW060347K0FKEA,"R7, R15",47k,Vishay,RESISTOR 47K OHM 1% 1/10W 0603,smd-resistor-0603,2
CRCW06031K00FKEA,R8,1k,Vishay,RESISTOR 1K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW060322K0FKEA,"R9, R11, R12",22k,Vishay,RESISTOR 22K OHM 1% 1/10W 0603,smd-resistor-0603,3
CRCW06035K10FKEA,R10,5.1k,Vishay,RESISTOR 5.1K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW0603470KFKEA,R13,470k,Vishay,RESISTOR 470K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW0603100KFKEA,R18,100k,Vishay,RESISTOR 100K OHM 1% 1/10W 0603,smd-resistor-0603,1
CRCW0603100RFKEA,R19,100R,Vishay,RESISTOR 100 OHM 1% 1/10W 0603,smd-resistor-0603,1
RV16AF-41-15R1-A100K,VOL,100kA,Alpha Taiwan,100K OHM LOGARITHMIC TAPER POTENTIOMETER PCB MOUNT ROUND,th-pot-rv16af-41,1
